"Supply","Demand","period","newsupply"
258,120,772,0
533,245,773,681
148,70,774,0
984,450,775,1330
346,160,776,0
258,120,777,483
225,105,778,0
434,200,779,692
258,120,780,0
401,185,781,670
269,125,782,0
368,170,783,736
368,170,784,0
192,90,785,362
170,80,786,0
654,300,787,868
214,100,788,0
401,185,789,802
401,185,790,0
170,80,791,384
214,100,792,0
643,295,793,912
269,125,794,0
533,245,795,967
434,200,796,0
401,185,797,714
313,145,798,0
401,185,799,725
324,150,800,0
368,170,801,769
401,185,802,0
258,120,803,516
258,120,804,0
346,160,805,648
302,140,806,0
368,170,807,769
401,185,808,0
445,205,809,1088
643,295,810,0
269,125,811,538
269,125,812,0
225,105,813,626
401,185,814,0
346,160,815,747
401,185,816,0
489,225,817,890
401,185,818,0
478,220,819,648
170,80,820,0
401,185,821,736
335,155,822,0
236,110,823,637
401,185,824,0
489,225,825,659
170,80,826,0
313,145,827,714
401,185,828,0
401,185,829,890
489,225,830,0
643,295,831,1396
753,345,832,0
335,155,833,604
269,125,834,0
269,125,835,527
258,120,836,0
401,185,837,802
401,185,838,0
258,120,839,505
247,115,840,0
841,385,841,1407
566,260,842,0
368,170,843,725
357,165,844,0
225,105,845,714
489,225,846,0
192,90,847,538
346,160,848,0
401,185,849,648
247,115,850,0
555,255,851,1396
841,385,852,0
423,195,853,824
401,185,854,0
335,155,855,527
192,90,856,0
269,125,857,494
225,105,858,0
346,160,859,1187
841,385,860,0
269,125,861,703
434,200,862,0
478,220,863,824
346,160,864,0
236,110,865,890
654,300,866,0
170,80,867,681
511,235,868,0
533,245,869,802
269,125,870,0
247,115,871,615
368,170,872,0
269,125,873,692
423,195,874,0
368,170,875,714
346,160,876,0
434,200,877,1143
709,325,878,0
412,190,879,1495
1083,495,880,0
511,235,881,780
269,125,882,0
511,235,883,681
170,80,884,0
489,225,885,890
401,185,886,0
511,235,887,879
368,170,888,0
412,190,889,681
269,125,890,0
401,185,891,802
401,185,892,0
434,200,893,703
269,125,894,0
247,115,895,516
269,125,896,0
236,110,897,571
335,155,898,0
170,80,899,571
401,185,900,0
368,170,901,780
412,190,902,0
368,170,903,604
236,110,904,0
489,225,905,659
170,80,906,0
247,115,907,417
170,80,908,0
170,80,909,395
225,105,910,0
753,345,911,1187
434,200,912,0
170,80,913,395
225,105,914,0
203,95,915,472
269,125,916,0
489,225,917,703
214,100,918,0
401,185,919,747
346,160,920,0
401,185,921,1055
654,300,922,0
643,295,923,978
335,155,924,0
841,385,925,1319
478,220,926,0
313,145,927,560
247,115,928,0
269,125,929,670
401,185,930,0
357,165,931,593
236,110,932,0
654,300,933,1495
841,385,934,0
368,170,935,769
401,185,936,0
423,195,937,1077
654,300,938,0
192,90,939,846
654,300,940,0
489,225,941,659
170,80,942,0
368,170,943,879
511,235,944,0
269,125,945,835
566,260,946,0
401,185,947,593
192,90,948,0
313,145,949,483
170,80,950,0
214,100,951,395
181,85,952,0
830,380,953,1033
203,95,954,0
247,115,955,461
214,100,956,0
423,195,957,1066
643,295,958,0
401,185,959,791
390,180,960,0
434,200,961,868
434,200,962,0
269,125,963,538
269,125,964,0
269,125,965,692
423,195,966,0
401,185,967,802
401,185,968,0
555,255,969,901
346,160,970,0
236,110,971,1220
984,450,972,0
984,450,973,1253
269,125,974,0
269,125,975,758
489,225,976,0
192,90,977,450
258,120,978,0
258,120,979,593
335,155,980,0
269,125,981,670
401,185,982,0
984,450,983,1473
489,225,984,0
258,120,985,681
423,195,986,0
192,90,987,527
335,155,988,0
643,295,989,1011
368,170,990,0
247,115,991,472
225,105,992,0
258,120,993,516
258,120,994,0
654,300,995,1055
401,185,996,0
489,225,997,1088
599,275,998,0
401,185,999,802
401,185,1000,0
269,125,1001,648
379,175,1002,0
335,155,1003,505
170,80,1004,0
247,115,1005,428
181,85,1006,0
324,150,1007,813
489,225,1008,0
258,120,1009,428
170,80,1010,0
236,110,1011,637
401,185,1012,0
214,100,1013,483
269,125,1014,0
533,245,1015,1154
621,285,1016,0
324,150,1017,692
368,170,1018,0
368,170,1019,659
291,135,1020,0
203,95,1021,956
753,345,1022,0
1083,495,1023,1407
324,150,1024,0
621,285,1025,813
192,90,1026,0
401,185,1027,1242
841,385,1028,0
346,160,1029,747
401,185,1030,0
192,90,1031,527
335,155,1032,0
401,185,1033,813
412,190,1034,0
258,120,1035,1088
830,380,1036,0
236,110,1037,637
401,185,1038,0
1083,495,1039,1451
368,170,1040,0
214,100,1041,604
390,180,1042,0
335,155,1043,978
643,295,1044,0
269,125,1045,417
148,70,1046,0
401,185,1047,1385
984,450,1048,0
401,185,1049,582
181,85,1050,0
324,150,1051,736
412,190,1052,0
654,300,1053,1055
401,185,1054,0
401,185,1055,670
269,125,1056,0
214,100,1057,384
170,80,1058,0
192,90,1059,1176
984,450,1060,0
236,110,1061,483
247,115,1062,0
181,85,1063,549
368,170,1064,0
489,225,1065,758
269,125,1066,0
434,200,1067,835
401,185,1068,0
335,155,1069,747
412,190,1070,0
291,135,1071,494
203,95,1072,0
269,125,1073,439
170,80,1074,0
423,195,1075,813
390,180,1076,0
236,110,1077,659
423,195,1078,0
258,120,1079,516
258,120,1080,0
368,170,1081,714
346,160,1082,0
225,105,1083,538
313,145,1084,0
577,265,1085,824
247,115,1086,0
181,85,1087,417
236,110,1088,0
478,220,1089,890
412,190,1090,0
577,265,1091,945
368,170,1092,0
511,235,1093,901
390,180,1094,0
401,185,1095,978
577,265,1096,0
225,105,1097,593
368,170,1098,0
412,190,1099,582
170,80,1100,0
313,145,1101,527
214,100,1102,0
192,90,1103,450
258,120,1104,0
170,80,1105,505
335,155,1106,0
269,125,1107,912
643,295,1108,0
236,110,1109,802
566,260,1110,0
148,70,1111,483
335,155,1112,0
247,115,1113,901
654,300,1114,0
511,235,1115,835
324,150,1116,0
291,135,1117,945
654,300,1118,0
302,140,1119,516
214,100,1120,0
258,120,1121,626
368,170,1122,0
225,105,1123,560
335,155,1124,0
225,105,1125,626
401,185,1126,0
170,80,1127,1000
830,380,1128,0
368,170,1129,637
269,125,1130,0
368,170,1131,571
203,95,1132,0
313,145,1133,538
225,105,1134,0
434,200,1135,692
258,120,1136,0
401,185,1137,802
401,185,1138,0
225,105,1139,494
269,125,1140,0
335,155,1141,516
181,85,1142,0
214,100,1143,703
489,225,1144,0
236,110,1145,472
236,110,1146,0
247,115,1147,670
423,195,1148,0
401,185,1149,582
181,85,1150,0
533,245,1151,934
401,185,1152,0
236,110,1153,604
368,170,1154,0
401,185,1155,802
401,185,1156,0
478,220,1157,879
401,185,1158,0
412,190,1159,846
434,200,1160,0
159,75,1161,472
313,145,1162,0
269,125,1163,780
511,235,1164,0
423,195,1165,659
236,110,1166,0
269,125,1167,923
654,300,1168,0
203,95,1169,956
753,345,1170,0
643,295,1171,857
214,100,1172,0
181,85,1173,417
236,110,1174,0
225,105,1175,461
236,110,1176,0
269,125,1177,868
599,275,1178,0
434,200,1179,703
269,125,1180,0
148,70,1181,384
236,110,1182,0
555,255,1183,956
401,185,1184,0
412,190,1185,835
423,195,1186,0
643,295,1187,1264
621,285,1188,0
269,125,1189,483
214,100,1190,0
236,110,1191,879
643,295,1192,0
247,115,1193,505
258,120,1194,0
434,200,1195,692
258,120,1196,0
390,180,1197,582
192,90,1198,0
401,185,1199,769
368,170,1200,0
423,195,1201,989
566,260,1202,0
489,225,1203,956
467,215,1204,0
181,85,1205,538
357,165,1206,0
423,195,1207,912
489,225,1208,0
489,225,1209,813
324,150,1210,0
346,160,1211,615
269,125,1212,0
357,165,1213,604
247,115,1214,0
841,385,1215,1495
654,300,1216,0
269,125,1217,824
555,255,1218,0
830,380,1219,1077
247,115,1220,0
236,110,1221,395
159,75,1222,0
247,115,1223,582
335,155,1224,0
225,105,1225,461
236,110,1226,0
269,125,1227,615
346,160,1228,0
654,300,1229,1132
478,220,1230,0
555,255,1231,1121
566,260,1232,0
247,115,1233,593
346,160,1234,0
555,255,1235,967
412,190,1236,0
291,135,1237,626
335,155,1238,0
401,185,1239,802
401,185,1240,0
346,160,1241,1187
841,385,1242,0
214,100,1243,626
412,190,1244,0
225,105,1245,527
302,140,1246,0
566,260,1247,901
335,155,1248,0
654,300,1249,945
291,135,1250,0
401,185,1251,802
401,185,1252,0
489,225,1253,802
313,145,1254,0
412,190,1255,582
170,80,1256,0
247,115,1257,505
258,120,1258,0
203,95,1259,571
368,170,1260,0
511,235,1261,912
401,185,1262,0
269,125,1263,582
313,145,1264,0
412,190,1265,813
401,185,1266,0
401,185,1267,714
313,145,1268,0
478,220,1269,967
489,225,1270,0
533,245,1271,1187
654,300,1272,0
269,125,1273,604
335,155,1274,0
192,90,1275,593
401,185,1276,0
841,385,1277,1033
192,90,1278,0
346,160,1279,989
643,295,1280,0
566,260,1281,934
368,170,1282,0
236,110,1283,879
643,295,1284,0
335,155,1285,747
412,190,1286,0
401,185,1287,824
423,195,1288,0
236,110,1289,505
269,125,1290,0
401,185,1291,769
368,170,1292,0
225,105,1293,494
269,125,1294,0
346,160,1295,516
170,80,1296,0
423,195,1297,593
170,80,1298,0
269,125,1299,538
269,125,1300,0
214,100,1301,615
401,185,1302,0
335,155,1303,736
401,185,1304,0
621,285,1305,1022
401,185,1306,0
269,125,1307,505
236,110,1308,0
412,190,1309,604
192,90,1310,0
434,200,1311,769
335,155,1312,0
577,265,1313,901
324,150,1314,0
577,265,1315,835
258,120,1316,0
269,125,1317,670
401,185,1318,0
214,100,1319,483
269,125,1320,0
258,120,1321,1341
1083,495,1322,0
368,170,1323,769
401,185,1324,0
401,185,1325,802
401,185,1326,0
654,300,1327,868
214,100,1328,0
236,110,1329,428
192,90,1330,0
555,255,1331,758
203,95,1332,0
654,300,1333,912
258,120,1334,0
423,195,1335,692
269,125,1336,0
203,95,1337,395
192,90,1338,0
401,185,1339,802
401,185,1340,0
214,100,1341,527
313,145,1342,0
830,380,1343,1319
489,225,1344,0
203,95,1345,802
599,275,1346,0
302,140,1347,714
412,190,1348,0
324,150,1349,494
170,80,1350,0
401,185,1351,1385
984,450,1352,0
214,100,1353,615
401,185,1354,0
401,185,1355,615
214,100,1356,0
203,95,1357,626
423,195,1358,0
302,140,1359,725
423,195,1360,0
346,160,1361,516
170,80,1362,0
511,235,1363,747
236,110,1364,0
489,225,1365,758
269,125,1366,0
203,95,1367,736
533,245,1368,0
247,115,1369,417
170,80,1370,0
269,125,1371,472
203,95,1372,0
577,265,1373,846
269,125,1374,0
291,135,1375,538
247,115,1376,0
170,80,1377,538
368,170,1378,0
192,90,1379,461
269,125,1380,0
566,260,1381,824
258,120,1382,0
412,190,1383,736
324,150,1384,0
412,190,1385,813
401,185,1386,0
401,185,1387,604
203,95,1388,0
170,80,1389,373
203,95,1390,0
467,215,1391,736
269,125,1392,0
269,125,1393,912
643,295,1394,0
335,155,1395,582
247,115,1396,0
236,110,1397,637
401,185,1398,0
214,100,1399,637
423,195,1400,0
181,85,1401,582
401,185,1402,0
324,150,1403,835
511,235,1404,0
368,170,1405,725
357,165,1406,0
346,160,1407,670
324,150,1408,0
412,190,1409,846
434,200,1410,0
148,70,1411,373
225,105,1412,0
357,165,1413,890
533,245,1414,0
577,265,1415,1418
841,385,1416,0
335,155,1417,736
401,185,1418,0
489,225,1419,1022
533,245,1420,0
830,380,1421,1165
335,155,1422,0
247,115,1423,890
643,295,1424,0
478,220,1425,824
346,160,1426,0
401,185,1427,1044
643,295,1428,0
346,160,1429,615
269,125,1430,0
401,185,1431,582
181,85,1432,0
401,185,1433,802
401,185,1434,0
379,175,1435,593
214,100,1436,0
368,170,1437,791
423,195,1438,0
984,450,1439,1407
423,195,1440,0
302,140,1441,736
434,200,1442,0
599,275,1443,945
346,160,1444,0
225,105,1445,626
401,185,1446,0
170,80,1447,472
302,140,1448,0
247,115,1449,659
412,190,1450,0
269,125,1451,670
401,185,1452,0
269,125,1453,703
434,200,1454,0
654,300,1455,846
192,90,1456,0
390,180,1457,659
269,125,1458,0
423,195,1459,912
489,225,1460,0
599,275,1461,769
170,80,1462,0
269,125,1463,538
269,125,1464,0
401,185,1465,813
412,190,1466,0
170,80,1467,406
236,110,1468,0
258,120,1469,483
225,105,1470,0
401,185,1471,1385
984,450,1472,0
599,275,1473,956
357,165,1474,0
192,90,1475,461
269,125,1476,0
368,170,1477,758
390,180,1478,0
192,90,1479,362
170,80,1480,0
258,120,1481,494
236,110,1482,0
423,195,1483,912
489,225,1484,0
313,145,1485,615
302,140,1486,0
247,115,1487,901
654,300,1488,0
368,170,1489,857
489,225,1490,0
214,100,1491,615
401,185,1492,0
401,185,1493,670
269,125,1494,0
335,155,1495,758
423,195,1496,0
489,225,1497,758
269,125,1498,0
577,265,1499,923
346,160,1500,0
984,450,1501,1242
258,120,1502,0
335,155,1503,703
368,170,1504,0
302,140,1505,714
412,190,1506,0
390,180,1507,560
170,80,1508,0
258,120,1509,483
225,105,1510,0
236,110,1511,659
423,195,1512,0
225,105,1513,571
346,160,1514,0
269,125,1515,681
412,190,1516,0
346,160,1517,857
511,235,1518,0
434,200,1519,626
192,90,1520,0
214,100,1521,406
192,90,1522,0
401,185,1523,626
225,105,1524,0
412,190,1525,681
269,125,1526,0
203,95,1527,758
555,255,1528,0
401,185,1529,813
412,190,1530,0
412,190,1531,659
247,115,1532,0
566,260,1533,989
423,195,1534,0
368,170,1535,615
247,115,1536,0
313,145,1537,1066
753,345,1538,0
170,80,1539,593
423,195,1540,0
654,300,1541,824
170,80,1542,0
412,190,1543,1396
984,450,1544,0
181,85,1545,582
401,185,1546,0
214,100,1547,615
401,185,1548,0
401,185,1549,1484
1083,495,1550,0
225,105,1551,626
401,185,1552,0
170,80,1553,340
170,80,1554,0
401,185,1555,604
203,95,1556,0
225,105,1557,461
236,110,1558,0
401,185,1559,967
566,260,1560,0
566,260,1561,1055
489,225,1562,0
423,195,1563,1066
643,295,1564,0
170,80,1565,560
390,180,1566,0
214,100,1567,615
401,185,1568,0
984,450,1569,1330
346,160,1570,0
489,225,1571,956
467,215,1572,0
621,285,1573,813
192,90,1574,0
830,380,1575,1231
401,185,1576,0
269,125,1577,670
401,185,1578,0
401,185,1579,593
192,90,1580,0
841,385,1581,1825
984,450,1582,0
258,120,1583,571
313,145,1584,0
368,170,1585,670
302,140,1586,0
